%%writefile simple.csv
label;url
каска; https://github.com/rismirnov/neural/blob/master/helmet_1?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_2?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_3?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_4?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_5?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_6?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_8?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_9?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_10?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_11?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_12?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_13?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_16?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_17?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_18?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_20?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_23?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_24?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_25?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_26?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_27?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_2?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_3?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_5?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_6?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_8?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_9?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_10?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_11?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_13?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_14?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_15?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_18?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_19?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_20?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_21?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_26?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_27?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_28?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_111?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_112?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_113?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_114?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_115?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_116?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_117?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_118?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_119?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_120?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_121?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_122?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_123?raw=true
жилет; https://github.com/rismirnov/neural/blob/master/vest_124?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_111?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_112?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_113?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_114?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_115?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_116?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_117?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_118?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_119?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_120?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_121?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_122?raw=true
каска; https://github.com/rismirnov/neural/blob/master/helmet_123?raw=true
